    37.367,     14.932 
    37.467,     14.931 
    37.568,     14.930 
    37.667,     14.929 
    37.767,     14.928 
    37.868,     14.927 
    37.968,     14.926 
    38.069,     14.925 
    38.169,     14.924 
    38.268,     14.923 
    38.369,     14.922 
    38.469,     14.922 
    38.569,     14.921 
    38.670,     14.920 
    38.770,     14.919 
    38.870,     14.918 
    38.970,     14.917 
    39.070,     14.916 
    39.170,     14.915 
    39.271,     14.914 
    39.371,     14.913 
    39.471,     14.912 
    39.571,     14.912 
    39.671,     14.911 
    39.771,     14.910 
    39.872,     14.909 
    39.972,     14.908 
    40.072,     14.907 
    40.172,     14.907 
    40.272,     14.906 
    40.373,     14.904 
    40.473,     14.903 
    40.573,     14.903 
    40.674,     14.902 
    40.774,     14.901 
    40.873,     14.900 
    40.974,     14.900 
    41.074,     14.899 
    41.174,     14.897 
    41.275,     14.897 
    41.375,     14.895 
    41.474,     14.895 
    41.575,     14.894 
    41.675,     14.893 
    41.775,     14.892 
    41.876,     14.891 
    41.976,     14.891 
    42.076,     14.890 
    42.176,     14.888 
    42.276,     14.888 
    42.376,     14.887 
    42.477,     14.887 
    42.577,     14.885 
    42.678,     14.883 
    42.777,     14.883 
    42.877,     14.883 
    42.978,     14.882 
    43.078,     14.881 
    43.178,     14.880 
    43.279,     14.879 
    43.378,     14.878 
    43.478,     14.873 
    43.579,     14.869 
    43.679,     14.878 
    43.779,     14.882 
    43.880,     14.874 
    43.980,     14.867 
    44.079,     14.872 
    44.180,     14.879 
    44.280,     14.871 
    44.380,     14.872 
    44.481,     14.875 
    44.581,     14.868 
    44.680,     14.867 
    44.781,     14.866 
    44.881,     14.865 
    44.982,     14.865 
    45.082,     14.872 
    45.182,     14.877 
    45.283,     14.869 
    45.382,     14.882 
    45.482,     14.903 
    45.583,     14.880 
    45.683,     14.869 
    45.783,     14.860 
    45.884,     14.858 
    45.983,     14.857 
    46.083,     14.856 
    46.184,     14.856 
    46.284,     14.855 
    46.384,     14.854 
    46.485,     14.854 
    46.584,     14.853 
    46.684,     14.852 
    46.785,     14.852 
